method,num_configs,average_precision_mean,average_precision_std_across_configs,best_f1_mean,best_f1_std_across_configs,tecr_mean,tecr_std_across_configs,ap_delta_pct,ap_delta_pct_std_across_configs,f1_delta_pct,f1_delta_pct_std_across_configs,tecr_reduction_pct,tecr_reduction_pct_std_across_configs
clip_knn,12,0.8518501534510936,0.007769904466268505,0.7713417991779267,0.00790798887719497,0.2592316313219063,0.02173180246847094,0.0,0.0,0.0,0.0,0.0,0.0
pure_residual_heldout,12,0.8509242641857119,0.008222257359763396,0.7713347074632667,0.007450740563117509,0.24640373802249302,0.028508898786968627,-0.10901559957546803,0.179455800856553,-0.00034662314494293456,0.08712160291332122,5.121494556123338,4.433603288506303
full_gate_tol_0.00pct,12,0.8523340915923652,0.007572584626282979,0.7710915227908091,0.006821449136575699,0.2232879235227776,0.028953527309715323,0.057019568453143335,0.05438610263787645,-0.03089732847312318,0.2659164942484419,13.951130202851573,6.500187961179088
full_gate_tol_0.25pct,12,0.8519926510314267,0.007498319322074888,0.7703855217383547,0.006824955398855999,0.21257889183096906,0.02184633060190273,0.017014361145054217,0.07007590974058026,-0.1224631783460124,0.254900136909208,17.991281013579645,4.37046340286473
full_gate_tol_0.50pct,12,0.8519415472284453,0.007440464307007374,0.7699443548001523,0.006916199614938316,0.20807911578066798,0.020854092130596597,0.011073663392195284,0.07760241843242259,-0.17975101890272469,0.2589123518020509,19.652136390485474,5.255683464176154
full_gate_tol_1.00pct,12,0.8517138802669899,0.007373103594337736,0.769099773432853,0.006806635835841622,0.20361014144159204,0.022150318486126565,-0.015582907082869971,0.08800054927539243,-0.28900757301654595,0.3074790295196474,21.47011872399344,4.744771721681999
full_gate_eval_oracle,12,0.8522412486063419,0.0075553444463735495,0.7728851341548549,0.007371200989090411,0.2093614495718231,0.026679326121277866,0.046137192785685587,0.05636329456967386,0.20099203490945688,0.23629962867882742,19.333755511453464,5.861761385657989
