method,display_name,num_configs,average_precision_mean,average_precision_std,auroc_mean,auroc_std,best_f1_mean,best_f1_std,tecr_mean,tecr_std,ap_delta_pct,f1_delta_pct,tecr_reduction_pct
clip_knn_class_thresholds,"CLIP+kNN, class thresholds",12,0.8518501534510937,0.007769904466268504,0.8728668644588273,0.004269144534077225,0.7697990841606309,0.005401420070225858,0.23907382735128693,0.030598789250833137,0.0,-0.20000407328371525,7.775981606807827
clip_knn_global_threshold,"CLIP+kNN, global threshold",12,0.8518501534510937,0.007769904466268504,0.8728668644588273,0.004269144534077225,0.7713417991779267,0.00790798887719497,0.25923163132190624,0.02173180246847094,0.0,0.0,0.0
clip_knn_isotonic_class_thresholds,"CLIP+kNN isotonic, class thresholds",12,0.8416279295571507,0.008607678703211503,0.8724283985447691,0.004875364090452976,0.7697746812620787,0.005301696264345118,0.23929252295696832,0.030887268882857054,-1.2000025887804082,-0.2031677678453505,7.691618597337809
clip_knn_isotonic_global_threshold,"CLIP+kNN isotonic, global threshold",12,0.8416279295571507,0.008607678703211503,0.8724283985447691,0.004875364090452976,0.7746325667532373,0.008034789118777003,0.23518932056645112,0.033616001574516934,-1.2000025887804082,0.4266289702979747,9.274451050921364
clip_knn_platt_class_thresholds,"CLIP+kNN Platt, class thresholds",12,0.8454007355072376,0.007571779344035213,0.8642756424382583,0.004420265181394303,0.7697990841606309,0.005401420070225858,0.23907382735128693,0.030598789250833137,-0.7571070942145919,-0.20000407328371525,7.775981606807827
clip_knn_platt_global_threshold,"CLIP+kNN Platt, global threshold",12,0.8454007355072376,0.007571779344035213,0.8642756424382583,0.004420265181394303,0.7680392030423889,0.005785681475204333,0.24875024628578168,0.03676280407566732,-0.7571070942145919,-0.4281624746717406,4.043250811128477
clip_zeroshot_class_thresholds,"CLIP zero-shot, class thresholds",12,0.5670215778559816,0.007151689261282676,0.6016744305089572,0.005121841362789299,0.5941657433700146,0.010810828992507609,0.7336652081008679,0.054149229276694674,-33.43646466942435,-22.96985020087607,-183.01531119472992
clip_zeroshot_global_threshold,"CLIP zero-shot, global threshold",12,0.5670215778559816,0.007151689261282676,0.6016744305089572,0.005121841362789299,0.6197610544019883,0.005476534347056922,0.9175453855646918,0.04145556953980185,-33.43646466942435,-19.651566262516656,-253.9480814458598
heldout_gate_class_thresholds,"Held-out gate, class thresholds",12,0.8519926510314266,0.007498319322074888,0.8730645676398331,0.0038251720635272463,0.7682861953877108,0.006009638897635863,0.22061363523017308,0.035139508891314425,0.016728010173574864,-0.3961413466082646,14.897100286260388
heldout_gate_global_threshold,"Held-out gate, global threshold",12,0.8519926510314266,0.007498319322074888,0.8730645676398331,0.0038251720635272463,0.7703855217383547,0.006824955398855999,0.21257889183096904,0.02184633060190273,0.016728010173574864,-0.12397583543263338,17.99654588949649
