config,method,average_precision_mean,auroc_mean,best_f1_mean,tecr_mean
asl_gate_openimages_10k,asl_global_threshold,0.854277373044926,0.8771471938003055,0.780190428909512,0.2870673663963753
asl_gate_openimages_10k,asl_class_thresholds,0.854277373044926,0.8771471938003055,0.7805827990193828,0.2779137845788149
asl_gate_openimages_10k,asl_gate_global_threshold,0.8540197198146924,0.8768719967260392,0.7827514345024296,0.2557284167168138
asl_gate_openimages_10k,asl_gate_class_thresholds,0.8540197198146924,0.8768719967260392,0.7829166079621812,0.25531590809915594
asl_gate_openimages_10k_classB,asl_global_threshold,0.8375639729231793,0.8654213998807062,0.7655312677953822,0.23138669324766684
asl_gate_openimages_10k_classB,asl_class_thresholds,0.8375639729231793,0.8654213998807062,0.7680152548052267,0.230027796275253
asl_gate_openimages_10k_classB,asl_gate_global_threshold,0.83774113398858,0.8660829011920356,0.7682538656786094,0.1883356378113468
asl_gate_openimages_10k_classB,asl_gate_class_thresholds,0.83774113398858,0.8660829011920356,0.7664430176413533,0.19983333396800962
asl_gate_openimages_10k_classB_s20260523,asl_global_threshold,0.8332983876661639,0.8651032735495322,0.7691314284583239,0.24377286059705625
asl_gate_openimages_10k_classB_s20260523,asl_class_thresholds,0.8332983876661639,0.8651032735495322,0.772130386201302,0.20997574827559523
asl_gate_openimages_10k_classB_s20260523,asl_gate_global_threshold,0.8319890681169783,0.8617819429567488,0.7672809512065675,0.2026365762171951
asl_gate_openimages_10k_classB_s20260523,asl_gate_class_thresholds,0.8319890681169783,0.8617819429567488,0.7631395513574033,0.18698084325343897
asl_gate_openimages_10k_classB_s20260524,asl_global_threshold,0.8320335553728959,0.8649344256777255,0.7651894754861873,0.24980233747950242
asl_gate_openimages_10k_classB_s20260524,asl_class_thresholds,0.8320335553728959,0.8649344256777255,0.7699387647121482,0.2279293656658005
asl_gate_openimages_10k_classB_s20260524,asl_gate_global_threshold,0.8322835897952924,0.8650806595963813,0.7625454428589838,0.2046164573558805
asl_gate_openimages_10k_classB_s20260524,asl_gate_class_thresholds,0.8322835897952924,0.8650806595963813,0.7685951127761192,0.20860237947155746
asl_gate_openimages_10k_classB_s20260525,asl_global_threshold,0.8305761531976292,0.861579085991948,0.760777419837067,0.26216005227644407
asl_gate_openimages_10k_classB_s20260525,asl_class_thresholds,0.8305761531976292,0.861579085991948,0.767407120892726,0.21941564788013287
asl_gate_openimages_10k_classB_s20260525,asl_gate_global_threshold,0.8309526714083841,0.8620692685163919,0.7595088249999205,0.240082095924879
asl_gate_openimages_10k_classB_s20260525,asl_gate_class_thresholds,0.8309526714083841,0.8620692685163919,0.768833905743336,0.21670205984454421
asl_gate_openimages_10k_classB_s20260526,asl_global_threshold,0.830445318431168,0.8676026712351195,0.7664221544374883,0.2608153321414305
asl_gate_openimages_10k_classB_s20260526,asl_class_thresholds,0.830445318431168,0.8676026712351195,0.76557363666499,0.21889444281206
asl_gate_openimages_10k_classB_s20260526,asl_gate_global_threshold,0.8312150614068884,0.8681901040257636,0.7645561877191158,0.2289933974664494
asl_gate_openimages_10k_classB_s20260526,asl_gate_class_thresholds,0.8312150614068884,0.8681901040257636,0.7665861304555794,0.21905982563155804
asl_gate_openimages_10k_classB_s20260527,asl_global_threshold,0.8283964868780254,0.8634378653165552,0.7631686064664294,0.24514617274812395
asl_gate_openimages_10k_classB_s20260527,asl_class_thresholds,0.8283964868780254,0.8634378653165552,0.7615537657404319,0.21946880126816976
asl_gate_openimages_10k_classB_s20260527,asl_gate_global_threshold,0.8278741539975515,0.862638633801153,0.7619359011198875,0.21444493867876155
asl_gate_openimages_10k_classB_s20260527,asl_gate_class_thresholds,0.8278741539975515,0.862638633801153,0.7585384558345174,0.20575498228896
asl_gate_openimages_10k_s20260523,asl_global_threshold,0.8550843545832659,0.878659520236031,0.7854899044062582,0.2578317570194323
asl_gate_openimages_10k_s20260523,asl_class_thresholds,0.8550843545832659,0.878659520236031,0.7848956422781056,0.23400854006369648
asl_gate_openimages_10k_s20260523,asl_gate_global_threshold,0.8545620155898099,0.878397101325748,0.7863894610533467,0.22333915754155212
asl_gate_openimages_10k_s20260523,asl_gate_class_thresholds,0.8545620155898099,0.878397101325748,0.7857217705953751,0.20284946860806521
asl_gate_openimages_10k_s20260524,asl_global_threshold,0.8458679707428166,0.8762860068956811,0.7785648836149924,0.2536398116154928
asl_gate_openimages_10k_s20260524,asl_class_thresholds,0.8458679707428166,0.8762860068956811,0.7782779935886524,0.2581464999034456
asl_gate_openimages_10k_s20260524,asl_gate_global_threshold,0.8455246410565433,0.8753249130598109,0.774380895583182,0.19601834826477976
asl_gate_openimages_10k_s20260524,asl_gate_class_thresholds,0.8455246410565433,0.8753249130598109,0.7789852419922209,0.20707100454495295
asl_gate_openimages_10k_s20260525,asl_global_threshold,0.8541132016848241,0.8744130468164866,0.781208060305314,0.24710436592355745
