method,display_name,num_configs,average_precision_mean,average_precision_std,auroc_mean,auroc_std,best_f1_mean,best_f1_std,tecr_mean,tecr_std,ap_delta_pct,f1_delta_pct,tecr_reduction_pct
asl_class_thresholds,"ASL (ICCV 2021), class thresholds",12,0.842072949439122,0.010933468233311964,0.8706937141559291,0.006576335128401145,0.7734287275943027,0.007165239127417596,0.24897036429677422,0.040211444010772826,17.224868491070485,14.29090840583473,43.756450318969264
asl_global_threshold,"ASL (ICCV 2021), global threshold",12,0.842072949439122,0.010933468233311964,0.8706937141559291,0.006576335128401145,0.7728520986919438,0.008641348093943851,0.2629411130113481,0.02511609229240544,17.224868491070485,14.205698949924493,40.60039396813107
balance_mix_feature_class_thresholds,"BalanceMix-style feature mixup, class thresholds",12,0.6885011741629746,0.014457699609275471,0.7399433796123284,0.00805057580744929,0.7450708200365636,0.00999681381602846,0.2929105679997452,0.04629119423090512,-4.153838867570421,10.100411079282402,33.83015633236133
balance_mix_feature_global_threshold,"BalanceMix-style feature mixup, global threshold",12,0.6885011741629746,0.014457699609275471,0.7399433796123284,0.00805057580744929,0.6816173780782316,0.011943678575824093,0.5789866708147103,0.041982951016344854,-4.153838867570421,0.7237855879433541,-30.79575023557801
class_balanced_bce_class_thresholds,"Class-balanced BCE, class thresholds",12,0.740957831815626,0.016111982129169967,0.7981021534263998,0.007983163270498188,0.7484693789114631,0.009678621606799123,0.2902407766509933,0.0468473569532815,3.1486457911624934,10.602622035799563,34.43327446967715
class_balanced_bce_global_threshold,"Class-balanced BCE, global threshold",12,0.740957831815626,0.016111982129169967,0.7981021534263998,0.007983163270498188,0.7219098568907807,0.010727851192759354,0.4471085728035495,0.03406704450256195,3.1486457911624934,6.677875268233374,-1.0038817202991888
db_loss_class_thresholds,"DBLoss (ECCV 2020), class thresholds",12,0.8363261331330688,0.012046690782069991,0.8660843573847566,0.007234740951774004,0.7673888302645103,0.008060621887852967,0.25725271940934336,0.03671939757724643,16.424854921975147,13.398382271400735,41.88542822939056
db_loss_global_threshold,"DBLoss (ECCV 2020), global threshold",12,0.8363261331330688,0.012046690782069991,0.8660843573847566,0.007234740951774004,0.7679177135556244,0.009179978331811075,0.268228118278193,0.02967242671222132,16.424854921975147,13.476536275286929,39.406035176756184
linear_bce_class_thresholds,"Linear BCE, class thresholds",12,0.7183398542291957,0.026626674196211963,0.7575072628645003,0.015478581438419228,0.6483139281044229,0.015904132866967863,0.5336579722685598,0.06602883471937607,0.0,-4.197523143882593,-20.555788881712107
linear_bce_global_threshold,"Linear BCE, global threshold",12,0.7183398542291957,0.026626674196211963,0.7575072628645003,0.015478581438419228,0.6767193807296906,0.015623625209494871,0.44266474237266085,0.06413208993172063,0.0,0.0,0.0
logit_adjusted_bce_class_thresholds,"Logit-adjusted BCE, class thresholds",12,0.7183401892119292,0.026627114528223327,0.7578028140465096,0.015864788123410647,0.6483139281044229,0.015904132866967863,0.5336579722685598,0.06602883471937607,4.663290385180891e-05,-4.197523143882593,-20.555788881712107
logit_adjusted_bce_global_threshold,"Logit-adjusted BCE, global threshold",12,0.7183401892119292,0.026627114528223327,0.7578028140465096,0.015864788123410647,0.677034583293314,0.016119810999596557,0.44266474237266085,0.06413208993172063,4.663290385180891e-05,0.046578031101090836,0.0
text_init_asl_class_thresholds,"Text-initialized ASL (ICCV 2021), class thresholds",12,0.838333085502061,0.011749773217095605,0.8673694214679625,0.00719109495651688,0.7687567836707525,0.007992340874167647,0.25425099682530095,0.035876251354824945,16.704242506720213,13.600527125707574,42.563531158472586
text_init_asl_global_threshold,"Text-initialized ASL (ICCV 2021), global threshold",12,0.838333085502061,0.011749773217095605,0.8673694214679625,0.00719109495651688,0.7680402762076687,0.010045765092804861,0.26230415569010085,0.02561089706531744,16.704242506720213,13.494647571569308,40.74428555476008
text_init_balance_mix_feature_class_thresholds,"Text-initialized BalanceMix-style feature mixup, class thresholds",12,0.6916081865211101,0.015085833755625888,0.742696772857447,0.008690671151609299,0.746803498390093,0.01049244903105795,0.2931181912349852,0.047761150167732316,-3.7213120712576337,10.35645197346532,33.78325328918531
text_init_balance_mix_feature_global_threshold,"Text-initialized BalanceMix-style feature mixup, global threshold",12,0.6916081865211101,0.015085833755625888,0.742696772857447,0.008690671151609299,0.6835748596732693,0.013189973764147812,0.574778113815103,0.037324429434959984,-3.7213120712576337,1.0130460481546322,-29.84501786483403
text_init_bce_class_thresholds,"Text-initialized BCE, class thresholds",12,0.7091522758760336,0.028908487206900826,0.7548983500385865,0.01678249490270999,0.6476266480482843,0.018727007531249302,0.5074328565607966,0.06154327390260039,-1.2790016172805398,-4.29908371325738,-14.631414700204477
text_init_bce_global_threshold,"Text-initialized BCE, global threshold",12,0.7091522758760336,0.028908487206900826,0.7548983500385865,0.01678249490270999,0.6759359992165813,0.016173043479758877,0.4731576882751778,0.06465573185654648,-1.2790016172805398,-0.11576164883361295,-6.888496639483027
text_init_class_balanced_bce_class_thresholds,"Text-initialized class-balanced BCE, class thresholds",12,0.7365443398115271,0.01709273805478634,0.7930945241137773,0.008423983115610724,0.7486500390314489,0.011247000758754217,0.2871696516642191,0.04784921459232694,2.5342441290363205,10.629318495976445,35.127055720542785
text_init_class_balanced_bce_global_threshold,"Text-initialized class-balanced BCE, global threshold",12,0.7365443398115271,0.01709273805478634,0.7930945241137773,0.008423983115610724,0.7187353860472895,0.011228945892451376,0.45736566352293,0.02436396223689514,2.5342441290363205,6.208778189904061,-3.3210056602820823
text_init_db_loss_class_thresholds,"Text-initialized DBLoss (ECCV 2020), class thresholds",12,0.8298545823016489,0.013488718009242683,0.8606659971266134,0.00796064222725397,0.7634335778342888,0.00869199663260636,0.2708592930506679,0.044997660958962044,15.523951151521796,12.81390773988123,38.8116407015215
text_init_db_loss_global_threshold,"Text-initialized DBLoss (ECCV 2020), global threshold",12,0.8298545823016489,0.013488718009242683,0.8606659971266134,0.00796064222725397,0.7626562989911724,0.010592742619512154,0.2806572510108037,0.030541326486976064,15.523951151521796,12.699047893207668,36.59823696224487
text_init_logit_adjusted_bce_class_thresholds,"Text-initialized logit-adjusted BCE, class thresholds",12,0.7091522723434059,0.028908488504000397,0.7548983435797338,0.016782503644546264,0.6476266480482843,0.018727007531249302,0.5074328565607966,0.06154327390260039,-1.2790021090571848,-4.29908371325738,-14.631414700204477
text_init_logit_adjusted_bce_global_threshold,"Text-initialized logit-adjusted BCE, global threshold",12,0.7091522723434059,0.028908488504000397,0.7548983435797338,0.016782503644546264,0.6759359992165813,0.016173043479758877,0.4731576882751778,0.06465573185654648,-1.2790021090571848,-0.11576164883361295,-6.888496639483027
