config,method,average_precision_mean,auroc_mean,best_f1_mean,tecr_mean
nuswide_heldout_ultrastrict_classB_s20260522,clip_knn_class_thresholds,0.8238654650917882,0.8641124466800605,0.7671772396625238,0.23330212234706615
nuswide_heldout_ultrastrict_classB_s20260522,clip_knn_global_threshold,0.8238654650917882,0.8641124466800605,0.7645112935215863,0.2921798862810099
nuswide_heldout_ultrastrict_classB_s20260522,clip_knn_isotonic_class_thresholds,0.8182790932747304,0.8654189311644084,0.7689511091239981,0.23330212234706615
nuswide_heldout_ultrastrict_classB_s20260522,clip_knn_isotonic_global_threshold,0.8182790932747304,0.8654189311644084,0.7675749685329217,0.26837092370800236
nuswide_heldout_ultrastrict_classB_s20260522,heldout_gate_class_thresholds,0.8234526774760533,0.8621851410864323,0.7613940333139935,0.17823169340023273
nuswide_heldout_ultrastrict_classB_s20260522,heldout_gate_global_threshold,0.8234526774760533,0.8621851410864323,0.76282419700623,0.15455593096042536
nuswide_heldout_ultrastrict_classB_s20260523,clip_knn_class_thresholds,0.7111385961054263,0.8620945019399653,0.6588211596169037,0.1723633901657928
nuswide_heldout_ultrastrict_classB_s20260523,clip_knn_global_threshold,0.7111385961054263,0.8620945019399653,0.6694503796367599,0.18578475518202114
nuswide_heldout_ultrastrict_classB_s20260523,clip_knn_isotonic_class_thresholds,0.6993655569940243,0.8604606470447231,0.6612829520861517,0.1723633901657928
nuswide_heldout_ultrastrict_classB_s20260523,clip_knn_isotonic_global_threshold,0.6993655569940243,0.8604606470447231,0.6609469037254443,0.1538098098475066
nuswide_heldout_ultrastrict_classB_s20260523,heldout_gate_class_thresholds,0.7103841284182526,0.8601754807641356,0.6554136367345391,0.14866321429080337
nuswide_heldout_ultrastrict_classB_s20260523,heldout_gate_global_threshold,0.7103841284182526,0.8601754807641356,0.6623337551859747,0.13700952402278002
nuswide_heldout_ultrastrict_classB_s20260524,clip_knn_class_thresholds,0.781246404278584,0.86537127196696,0.7303336213891057,0.23611045224559762
nuswide_heldout_ultrastrict_classB_s20260524,clip_knn_global_threshold,0.781246404278584,0.86537127196696,0.7302627830630675,0.23604250509686714
nuswide_heldout_ultrastrict_classB_s20260524,clip_knn_isotonic_class_thresholds,0.7641547932029624,0.864383383782631,0.7297658463140756,0.23803352916867454
nuswide_heldout_ultrastrict_classB_s20260524,clip_knn_isotonic_global_threshold,0.7641547932029624,0.864383383782631,0.7326329397833647,0.2307475369071621
nuswide_heldout_ultrastrict_classB_s20260524,heldout_gate_class_thresholds,0.7810913726004933,0.8651973124062098,0.7256929462488558,0.2276383242666533
