config,method,average_precision_mean,auroc_mean,best_f1_mean,tecr_mean
nuswide_heldout_ultrastrict_classB_s20260522,asl_global_threshold,0.8350707408282529,0.875641399085015,0.7795407167346353,0.3569573372944159
nuswide_heldout_ultrastrict_classB_s20260522,asl_class_thresholds,0.8350707408282529,0.875641399085015,0.7854021722784533,0.24610043514537897
nuswide_heldout_ultrastrict_classB_s20260522,db_loss_global_threshold,0.8313196939050735,0.8744325739779644,0.7799572405848574,0.3330656546948682
nuswide_heldout_ultrastrict_classB_s20260522,db_loss_class_thresholds,0.8313196939050735,0.8744325739779644,0.7860154993876225,0.2515610481902617
nuswide_heldout_ultrastrict_classB_s20260523,asl_global_threshold,0.7376959290480442,0.8833100155395724,0.6880597414837876,0.1767939137450322
nuswide_heldout_ultrastrict_classB_s20260523,asl_class_thresholds,0.7376959290480442,0.8833100155395724,0.6945343135020193,0.16626921281022358
nuswide_heldout_ultrastrict_classB_s20260523,db_loss_global_threshold,0.7247515166762166,0.8756179788763634,0.6801054729949649,0.17679159539142972
nuswide_heldout_ultrastrict_classB_s20260523,db_loss_class_thresholds,0.7247515166762166,0.8756179788763634,0.6477549062652889,0.21284257188358263
nuswide_heldout_ultrastrict_classB_s20260524,asl_global_threshold,0.8038168241245263,0.8825814797822951,0.746342136346836,0.2332916315525103
nuswide_heldout_ultrastrict_classB_s20260524,asl_class_thresholds,0.8038168241245263,0.8825814797822951,0.755872073378492,0.19665609570159437
nuswide_heldout_ultrastrict_classB_s20260524,db_loss_global_threshold,0.7955874060539079,0.8790965602428491,0.739835710967453,0.27779031889760797
nuswide_heldout_ultrastrict_classB_s20260524,db_loss_class_thresholds,0.7955874060539079,0.8790965602428491,0.7477115646143508,0.20827442658215461
nuswide_heldout_ultrastrict_classB_s20260525,asl_global_threshold,0.8279284610100335,0.8862379256522648,0.7688289800588664,0.1958221438027567
nuswide_heldout_ultrastrict_classB_s20260525,asl_class_thresholds,0.8279284610100335,0.8862379256522648,0.7737945767224674,0.22224428317460151
nuswide_heldout_ultrastrict_classB_s20260525,db_loss_global_threshold,0.8225655612832717,0.8823208140279825,0.76408175575806,0.21373696887166144
nuswide_heldout_ultrastrict_classB_s20260525,db_loss_class_thresholds,0.8225655612832717,0.8823208140279825,0.7605418846325305,0.2124418445145715
nuswide_heldout_ultrastrict_classB_s20260526,asl_global_threshold,0.7328580295494568,0.8777635444488245,0.6962957251962505,0.30291352057279863
nuswide_heldout_ultrastrict_classB_s20260526,asl_class_thresholds,0.7328580295494568,0.8777635444488245,0.6924315436451236,0.2661934349365616
nuswide_heldout_ultrastrict_classB_s20260526,db_loss_global_threshold,0.7197518244101444,0.8712049443581484,0.6873253588646995,0.324098066697837
nuswide_heldout_ultrastrict_classB_s20260526,db_loss_class_thresholds,0.7197518244101444,0.8712049443581484,0.6875110066704103,0.2572427121580327
nuswide_heldout_ultrastrict_s20260522,asl_global_threshold,0.8140878699465646,0.8770520517095874,0.7603574540547495,0.2131790816850946
nuswide_heldout_ultrastrict_s20260522,asl_class_thresholds,0.8140878699465646,0.8770520517095874,0.7585479779918869,0.23219909548771717
nuswide_heldout_ultrastrict_s20260522,db_loss_global_threshold,0.8072274666560417,0.8738715022860866,0.757003837356099,0.22282917052112242
nuswide_heldout_ultrastrict_s20260522,db_loss_class_thresholds,0.8072274666560417,0.8738715022860866,0.7573389770813103,0.24660631690233908
nuswide_heldout_ultrastrict_s20260523,asl_global_threshold,0.7689086558199538,0.8807796052311538,0.7279654028872401,0.20547095824485817
nuswide_heldout_ultrastrict_s20260523,asl_class_thresholds,0.7689086558199538,0.8807796052311538,0.7255726723605751,0.20837880895595298
nuswide_heldout_ultrastrict_s20260523,db_loss_global_threshold,0.7625079641316056,0.876616921050641,0.7241822172421158,0.21750150420383635
nuswide_heldout_ultrastrict_s20260523,db_loss_class_thresholds,0.7625079641316056,0.876616921050641,0.7043128296225452,0.2468916422696358
nuswide_heldout_ultrastrict_s20260524,asl_global_threshold,0.8548088824889539,0.8936416346413658,0.782092995131313,0.21241721070345432
nuswide_heldout_ultrastrict_s20260524,asl_class_thresholds,0.8548088824889539,0.8936416346413658,0.7872587650183969,0.15541267954422192
nuswide_heldout_ultrastrict_s20260524,db_loss_global_threshold,0.852830315993051,0.8912918690851956,0.7808702050220064,0.20858117745565638
nuswide_heldout_ultrastrict_s20260524,db_loss_class_thresholds,0.852830315993051,0.8912918690851956,0.7838338667100173,0.1537741708654168
nuswide_heldout_ultrastrict_s20260525,asl_global_threshold,0.8337520719219566,0.8945587207549975,0.7832483122976066,0.3162414328133511
nuswide_heldout_ultrastrict_s20260525,asl_class_thresholds,0.8337520719219566,0.8945587207549975,0.7861296758580529,0.22550116940715426
nuswide_heldout_ultrastrict_s20260525,db_loss_global_threshold,0.8282255457713397,0.891729839289534,0.7802975965892854,0.3161483375824855
nuswide_heldout_ultrastrict_s20260525,db_loss_class_thresholds,0.8282255457713397,0.891729839289534,0.7813263618175664,0.26192178636080266
nuswide_heldout_ultrastrict_s20260526,asl_global_threshold,0.7953854219728944,0.8756758974140769,0.7413590701079065,0.3045306900184058
nuswide_heldout_ultrastrict_s20260526,asl_class_thresholds,0.7953854219728944,0.8756758974140769,0.7437535269797979,0.23809209875968537
nuswide_heldout_ultrastrict_s20260526,db_loss_global_threshold,0.790406230862797,0.8721096059439517,0.7386401886037351,0.30686146810264514
nuswide_heldout_ultrastrict_s20260526,db_loss_class_thresholds,0.790406230862797,0.8721096059439517,0.7398501118702591,0.26767013477472423
