config,method,average_precision_mean,auroc_mean,best_f1_mean,tecr_mean
nuswide_heldout_ultrastrict_classB_s20260522,clip_knn,0.8238654650917882,0.8641124466800605,0.7645112935215863,0.2921798862810099
nuswide_heldout_ultrastrict_classB_s20260522,full_gate,0.8234526774760533,0.8621851410864323,0.76282419700623,0.15455593096042536
nuswide_heldout_ultrastrict_classB_s20260522,residual_only_gate,0.8121804124590473,0.8547326723262684,0.7596554062026709,0.14855693619738566
nuswide_heldout_ultrastrict_classB_s20260523,clip_knn,0.7111385961054263,0.8620945019399653,0.6694503796367599,0.18578475518202114
nuswide_heldout_ultrastrict_classB_s20260523,full_gate,0.7103841284182526,0.8601754807641356,0.6623337551859747,0.13700952402278002
nuswide_heldout_ultrastrict_classB_s20260523,residual_only_gate,0.6928636635071596,0.8539828166988505,0.6621037885050665,0.11486012233733858
nuswide_heldout_ultrastrict_classB_s20260524,clip_knn,0.781246404278584,0.86537127196696,0.7302627830630675,0.23604250509686714
nuswide_heldout_ultrastrict_classB_s20260524,full_gate,0.7810913726004933,0.8651973124062098,0.7270808364128228,0.20239434561977085
nuswide_heldout_ultrastrict_classB_s20260524,residual_only_gate,0.7629946329022117,0.8565129625097846,0.721633081210911,0.14961677449437547
nuswide_heldout_ultrastrict_classB_s20260525,clip_knn,0.809178495992439,0.8737920206097483,0.7536282329933383,0.22853129778049275
nuswide_heldout_ultrastrict_classB_s20260525,full_gate,0.8095140202865732,0.8734069728609999,0.7537174490026601,0.18820001881581766
nuswide_heldout_ultrastrict_classB_s20260525,residual_only_gate,0.8081922836329607,0.8729838594740726,0.7557790627675723,0.15798888516327195
nuswide_heldout_ultrastrict_classB_s20260526,clip_knn,0.7071543268261702,0.8584282507744352,0.6769029433098364,0.31713283645246787
nuswide_heldout_ultrastrict_classB_s20260526,full_gate,0.708533168596209,0.8588519816522503,0.6767789935388102,0.2271026561356237
nuswide_heldout_ultrastrict_classB_s20260526,residual_only_gate,0.6966533530380304,0.853850654626734,0.6719574914286942,0.16541325126481166
nuswide_heldout_ultrastrict_s20260522,clip_knn,0.8072828868505677,0.8697091465102502,0.7525684807617921,0.2649264349588124
nuswide_heldout_ultrastrict_s20260522,full_gate,0.8062026144481871,0.868473177532049,0.7484945827166156,0.2107387339764768
nuswide_heldout_ultrastrict_s20260522,residual_only_gate,0.7995076500768363,0.8655648886173797,0.7473570228810876,0.16036554924158994
nuswide_heldout_ultrastrict_s20260523,clip_knn,0.7596614400216659,0.8675591550212008,0.7159394411581721,0.2234738340551301
nuswide_heldout_ultrastrict_s20260523,full_gate,0.7587907179958705,0.8665928397415051,0.7129249703187741,0.1838181725179524
nuswide_heldout_ultrastrict_s20260523,residual_only_gate,0.7395133000276447,0.8578365370156206,0.6954360254596729,0.14633238810110716
nuswide_heldout_ultrastrict_s20260524,clip_knn,0.8468274040702648,0.8852077327150034,0.7741885510480854,0.207820543925222
nuswide_heldout_ultrastrict_s20260524,full_gate,0.8465988770347519,0.8848373004502814,0.769616028196273,0.1464324826529551
nuswide_heldout_ultrastrict_s20260524,residual_only_gate,0.835035844024282,0.8767119107818049,0.7682475719843305,0.12889199473266172
nuswide_heldout_ultrastrict_s20260525,clip_knn,0.8320153988798815,0.8899043764937529,0.7739212385499502,0.26256147775277394
nuswide_heldout_ultrastrict_s20260525,full_gate,0.832311011734232,0.8898322155740157,0.7728939872110632,0.2312436482954096
nuswide_heldout_ultrastrict_s20260525,residual_only_gate,0.822269582802603,0.8822988810233433,0.7699261196081599,0.16742118450692028
nuswide_heldout_ultrastrict_s20260526,clip_knn,0.7846794569161296,0.8628568361359553,0.7276272495735272,0.35236859747660393
nuswide_heldout_ultrastrict_s20260526,full_gate,0.7836701091492466,0.8612312812744303,0.7235483395454783,0.23827180070470363
nuswide_heldout_ultrastrict_s20260526,residual_only_gate,0.7653373249580515,0.8513092696903335,0.7194083069109452,0.1964335938678381
