method,num_configs,average_precision_mean,average_precision_std,auroc_mean,auroc_std,best_f1_mean,best_f1_std,tecr_mean,tecr_std,ap_delta_pct,f1_delta_pct,tecr_reduction_pct
clip_knn,10,0.7863049875032917,0.04805019072845189,0.8699035738847332,0.010281069849490504,0.7339000593616115,0.037531038973429715,0.2570822168961401,0.05153893890267799,0.0,0.0,0.0
full_gate,10,0.7860548697739869,0.04792285406291552,0.8690783703342309,0.010605781369493706,0.7310213139134702,0.03820091067446936,0.1919767313701915,0.03644830227251797,-0.03180925128034824,-0.39225306108373403,25.324772095088502
residual_only_gate,10,0.7734548047428828,0.050860323199473194,0.8625784452764191,0.011074130659051766,0.7271503876959111,0.039688683370977154,0.15358806799073005,0.022200372274933527,-1.6342491736204523,-0.9196990216313171,40.257218159598004
