config,method,average_precision_mean,auroc_mean,best_f1_mean,tecr_mean
nuswide_heldout_ultrastrict_classB_s20260522,asl_global_threshold,0.8350707408282529,0.875641399085015,0.7795407167346353,0.3569573372944159
nuswide_heldout_ultrastrict_classB_s20260522,asl_class_thresholds,0.8350707408282529,0.875641399085015,0.7854021722784533,0.24610043514537897
nuswide_heldout_ultrastrict_classB_s20260522,asl_gate_class_thresholds,0.8353991038950028,0.8732500077937517,0.7809745099951163,0.22271218170094578
nuswide_heldout_ultrastrict_classB_s20260522,asl_gate_global_threshold,0.8353991038950028,0.8732500077937517,0.7822652184896037,0.3228392394122731
nuswide_heldout_ultrastrict_classB_s20260523,asl_global_threshold,0.7376959290480442,0.8833100155395724,0.6880597414837876,0.1767939137450322
nuswide_heldout_ultrastrict_classB_s20260523,asl_class_thresholds,0.7376959290480442,0.8833100155395724,0.6945343135020193,0.16626921281022358
nuswide_heldout_ultrastrict_classB_s20260523,asl_gate_class_thresholds,0.7363213468845915,0.8795603900481292,0.6641730225012336,0.16044541283770777
nuswide_heldout_ultrastrict_classB_s20260523,asl_gate_global_threshold,0.7363213468845915,0.8795603900481292,0.6855059642277969,0.16561065256177104
nuswide_heldout_ultrastrict_classB_s20260524,asl_global_threshold,0.8038168241245263,0.8825814797822951,0.746342136346836,0.2332916315525103
nuswide_heldout_ultrastrict_classB_s20260524,asl_class_thresholds,0.8038168241245263,0.8825814797822951,0.755872073378492,0.19665609570159437
nuswide_heldout_ultrastrict_classB_s20260524,asl_gate_class_thresholds,0.8018397880164099,0.8774683648435921,0.7475334980558536,0.17729340005370903
nuswide_heldout_ultrastrict_classB_s20260524,asl_gate_global_threshold,0.8018397880164099,0.8774683648435921,0.7480227887835256,0.19372784638791476
nuswide_heldout_ultrastrict_classB_s20260525,asl_global_threshold,0.8279284610100335,0.8862379256522648,0.7688289800588664,0.1958221438027567
nuswide_heldout_ultrastrict_classB_s20260525,asl_class_thresholds,0.8279284610100335,0.8862379256522648,0.7737945767224674,0.22224428317460151
nuswide_heldout_ultrastrict_classB_s20260525,asl_gate_class_thresholds,0.8264602160663529,0.8826053406383915,0.7590777354118234,0.1822416674118938
nuswide_heldout_ultrastrict_classB_s20260525,asl_gate_global_threshold,0.8264602160663529,0.8826053406383915,0.7698663593727374,0.1770721438027567
nuswide_heldout_ultrastrict_classB_s20260526,asl_global_threshold,0.7328580295494568,0.8777635444488245,0.6962957251962505,0.30291352057279863
nuswide_heldout_ultrastrict_classB_s20260526,asl_class_thresholds,0.7328580295494568,0.8777635444488245,0.6924315436451236,0.2661934349365616
nuswide_heldout_ultrastrict_classB_s20260526,asl_gate_class_thresholds,0.72973232787801,0.8714565293258772,0.6884931085355352,0.23218310791418642
nuswide_heldout_ultrastrict_classB_s20260526,asl_gate_global_threshold,0.72973232787801,0.8714565293258772,0.6933094703447233,0.2713128321046403
nuswide_heldout_ultrastrict_s20260522,asl_global_threshold,0.8140878699465646,0.8770520517095874,0.7603574540547495,0.2131790816850946
nuswide_heldout_ultrastrict_s20260522,asl_class_thresholds,0.8140878699465646,0.8770520517095874,0.7585479779918869,0.23219909548771717
