method,n,average_precision_mean,average_precision_std,best_f1_mean,best_f1_std,tecr_mean,tecr_std,avg_predicted_labels_mean,avg_predicted_labels_std,coverage_mean,coverage_std,ap_delta_pct,ap_delta_pct_std,f1_delta_pct,f1_delta_pct_std,tecr_reduction_pct,tecr_reduction_pct_std
clip_knn,12,0.8518501534510937,0.007769904466268504,0.7713417991779266,0.00790798887719497,0.2592316313219063,0.02173180246847094,0.7561,0.032769761560427484,0.8328777966113977,0.01846743819319287,0.0,0.0,0.0,0.0,0.0,0.0
temperature_scaling,12,0.851921163385843,0.007800614571152193,0.7713417991779266,0.00790798887719497,0.2592316313219063,0.02173180246847094,0.7561,0.032769761560427484,0.8328777966113977,0.01846743819319287,0.00830736343854995,0.013605614020170392,0.0,0.0,0.0,0.0
split_conformal,12,0.8518501534510937,0.007769904466268504,0.22741246194434536,0.030878432424275768,0.0014110458279062146,0.0011043948046700182,0.061758333333333325,0.009682876951640253,0.1311766966936828,0.019842052598639057,0.0,0.0,-70.5466439013811,3.7531565762119574,99.45375346025027,0.4207605273546904
maxlogit_known_reject,12,0.8518501534510937,0.007769904466268504,0.7713417991779266,0.00790798887719497,0.2592316313219063,0.02173180246847094,0.7561,0.032769761560427484,0.8328777966113977,0.01846743819319287,0.0,0.0,0.0,0.0,0.0,0.0
entropy_reject,12,0.8513181182498221,0.007722182905282277,0.7709692570550973,0.007836481225962517,0.2562395951452917,0.020893831448402695,0.7493458333333334,0.03194536143830968,0.8298350090546102,0.018364203927592086,-0.06241012387563959,0.03197180034013134,-0.04815614454939767,0.11593284570104961,1.1200872995791684,1.815774887650162
elta_confidence_heldout,12,0.8519926510314266,0.007498319322074888,0.7703855217383547,0.006824955398855999,0.21257889183096904,0.02184633060190273,0.6970208333333333,0.033910567261101636,0.8020897272175932,0.016551739456142505,0.017014361145054214,0.07007590974058026,-0.1224631783460124,0.254900136909208,17.991281013579645,4.37046340286473
