dataset,frequency_group,num_configs,num_emerging_labels_mean,clip_knn_ap_mean,heldout_ap_mean,ap_delta,clip_knn_f1_mean,heldout_f1_mean,f1_delta,clip_knn_tecr_mean,heldout_tecr_mean,tecr_delta,tecr_reduction_pct,tecr_delta_std
COCO val2017,head,12,5.933333333333334,0.7929937310323973,0.7963202389580348,0.0033265079256374896,0.7178397686302361,0.7224086293182485,0.004568860688012322,0.19471151732140393,0.16107407077929092,-0.03363744654211301,17.27552997627191,0.026890400875249278
COCO val2017,mid,12,5.266666666666667,0.767880233288261,0.7705395059673218,0.0026592726790607424,0.7006493663919321,0.7013469789037933,0.0006976125118611787,0.05263450794159955,0.04526578867479048,-0.007368719266809071,13.999787506297217,0.007133382100588656
COCO val2017,tail,12,3.8000000000000003,0.6634262892896591,0.6612251155684604,-0.002201173721198657,0.6171079613656,0.6105941566880216,-0.006513804677578339,0.023576330100625983,0.026245918416201715,0.0026695883155757327,-11.32317160551146,0.00808784940113602
Open Images 10k,head,12,4.333333333333333,0.8302497751613558,0.8302647543139882,1.4979152632377257e-05,0.755773456865655,0.7548520576575851,-0.0009213992080698841,0.14458382548834567,0.13471030391814653,-0.009873521570199134,6.828925391101233,0.011367807688774028
Open Images 10k,mid,12,4.766666666666667,0.7160775817143946,0.7131671667100314,-0.002910415004363176,0.6555062147057155,0.6495412985615909,-0.005964916144124532,0.0822642362413741,0.07762268677002943,-0.00464154947134468,5.642244653832028,0.011282282895701561
Open Images 10k,tail,12,5.900000000000001,0.5650134697626371,0.5600764425535409,-0.0049370272090961675,0.5369091983369512,0.5320166341749187,-0.004892564162032431,0.04185833204411504,0.040507656675778166,-0.0013506753683368775,3.226777805941677,0.009232334975245483
